Country,Cases,Deaths,Date,Year,Lon,Lat,population,Pandemic
Saint Martin (French part),383,8,2020-09-30,2020,-63.05972851,18.08888611,36061.0,Covid19
Saint Martin (French part),383,8,2020-09-30,2020,-63.05713363,18.05081728,36061.0,Covid19
Saint Pierre and Miquelon,16,0,2020-09-30,2020,-56.30319779,46.91918789,5933.0,Covid19
Saint Vincent and the Grenadines,64,0,2020-09-30,2020,-61.20129695,13.22472269,109467.00000000001,Covid19
Samoa,0,0,2020-09-30,2020,-170.71802580000002,-14.30445997,194540.0,Covid19
Samoa,0,0,2020-09-30,2020,-172.1648506,-13.75324346,194540.0,Covid19
San Marino,749,42,2020-09-30,2020,12.45922334,43.94186747,33503.0,Covid19
Sao Tome and Principe,911,15,2020-09-30,2020,6.72429658,0.44391445,203220.99999999997,Covid19
Saudi Arabia,334187,4739,2020-09-30,2020,44.53686271,24.12245841,32443443.0,Covid19
Senegal,14919,309,2020-09-30,2020,-14.4734924,14.36624173,14993514.0,Covid19
Serbia,33479,749,2020-09-30,2020,20.78958334,44.2215032,8853963.0,Covid19
Seychelles,141,0,2020-09-30,2020,55.47603279,-4.66099094,95711.0,Covid19
Sierra Leone,2222,72,2020-09-30,2020,-11.79271247,8.56329593,7328846.0,Covid19
Singapore,57742,27,2020-09-30,2020,103.8172559,1.35876087,5653625.0,Covid19
Sint Maarten (Dutch part),645,22,2020-09-30,2020,,,40812.0,Covid19
Slovakia,9574,45,2020-09-30,2020,19.47905218,48.70547528,5442001.0,Covid19
Slovenia,5487,138,2020-09-30,2020,14.80444238,46.11554772,2074205.0,Covid19
Solomon Islands,0,0,2020-09-30,2020,159.6328767,-8.92178022,619438.0,Covid19
Somalia,3588,99,2020-09-30,2020,45.70714487,4.75062876,14185635.0,Covid19
South Africa,672572,16667,2020-09-30,2020,25.08390093,-29.00034095,56207649.00000001,Covid19
South Sudan,2704,49,2020-09-30,2020,30.24790002,7.30877945,10832520.0,Covid19
Spain,716481,31232,2020-09-30,2020,-3.64755047,40.24448698,46634130.99999999,Covid19
Sri Lanka,3374,13,2020-09-30,2020,80.70108238,7.61266509,21021177.000000004,Covid19
State of Palestine,50115,360,2020-09-30,2020,,,4635644.0,Covid19
Sudan,13640,836,2020-09-30,2020,29.94046812,15.99035669,39847433.0,Covid19
Suriname,4836,102,2020-09-30,2020,-55.9123457,4.13055413,564883.0,Covid19
Sweden,92466,5890,2020-09-30,2020,16.74558049,62.77966519,9836003.0,Covid19
Switzerland,52751,1781,2020-09-30,2020,8.20867471,46.79785878,8379915.000000001,Covid19
Syrian Arab Republic,4148,197,2020-09-30,2020,,,17465567.0,Covid19
Tajikistan,9726,75,2020-09-30,2020,71.01362631,38.5304539,8663575.0,Covid19
Thailand,3564,59,2020-09-30,2020,101.0028813,15.11815794,68971313.0,Covid19
Timor-Leste,28,0,2020-09-30,2020,125.8443898,-8.82889162,1219289.0,Covid19
Togo,1759,48,2020-09-30,2020,0.96232845,8.52531356,7509951.999999999,Covid19
Tokelau,0,0,2020-09-30,2020,,,1276.0,Covid19
Tonga,0,0,2020-09-30,2020,-174.80987340000001,-20.42843174,101142.99999999999,Covid19
